name,email,password,divisi,role
Bakianto Hartati,olgawinarno@gmail.com,9aV(RPDt$S,Web Development,ADMIN
Halima Pratama,gprasasta@gmail.com,9XJ8Yu&B%Z,Cyber Security,ADMIN
"Betania Hutagalung, S.Sos",jhassanah@gmail.com,d0@ED8FJ^_,Cyber Security,ADMIN
Puti Rahayu Kurniawan,siskarajata@gmail.com,)7zKRAG*hp,Cyber Security,ADMIN
Mila Pradipta,gwaluyo@gmail.com,7E4T^Y2h)6,Cyber Security,ADMIN
Padma Nasyiah,qyulianti@gmail.com,@5)QZwXq^U,ITNSA,USER
Sakura Iswahyudi,paimansaefullah@gmail.com,^6rWBgwx!3,ITNSA,USER
"Drs. Jinawi Laksita, S.Sos",nilam07@gmail.com,!f9bHhDKZt,Web Development,ADMIN
Lidya Maryadi,usman09@gmail.com,q3FIop*Y#!,ITNSA,USER
Karimah Wibisono,wahyunibetania@gmail.com,!+3JUMks5&,Web Development,ADMIN
Salsabila Nashiruddin,suartinimaras@gmail.com,(bTH*iH^h6,ITNSA,USER
Najwa Latupono,jindramulyani@gmail.com,n+KraM8q_6,Web Development,ADMIN
"Dr. Malik Lestari, S.Psi",hasimprakasa@gmail.com,(6PxD&GbuR,Web Development,USER
Gangsa Melani,elma14@gmail.com,00M^XUEb&h,Web Development,USER
Tgk. Kasiran Sitorus,titinmulyani@gmail.com,%EXnJHRxz6,Cyber Security,USER
Wardaya Wibisono,edifirgantoro@gmail.com,oe17Ge83!#,ITNSA,ADMIN
Wirda Putra,inainggolan@gmail.com,)2NdKJX*tX,ITNSA,USER
"Sutan Gamblang Simbolon, S.IP",utamaedward@gmail.com,Ip3bAjsV_b,Web Development,ADMIN
Drs. Yulia Padmasari,winarnopuji@gmail.com,M2PiMJiD#g,Web Development,ADMIN
"dr. Putri Situmorang, S.Pd",marpaungajiono@gmail.com,z+Nz_3XdyG,Cyber Security,ADMIN
Enteng Prabowo,lasmanto41@gmail.com,ln5S#HMd!9,ITNSA,USER
Lintang Uyainah,icha58@gmail.com,PhIF2*L74_,Web Development,ADMIN
Sarah Wibowo,dprayoga@gmail.com,)nKug#Di%1,ITNSA,USER
Raina Waluyo,veroprasetyo@gmail.com,Q!8rxH0g#B,Web Development,ADMIN
Yessi Hasanah,setya46@gmail.com,ZW$rO6DmEt,Web Development,USER
"R. Yunita Firgantoro, S.E.",qandriani@gmail.com,H9ZQsRmw#K,Web Development,ADMIN
"Mumpuni Mardhiyah, M.Kom.",hidayantojaiman@gmail.com,9F!5QWSfn_,ITNSA,USER
Puti Hilda Natsir,harimurtiharyanto@gmail.com,HW0OCvLm_u,ITNSA,USER
Dr. Asmadi Pradipta,enapitupulu@gmail.com,G_*78D*yOx,ITNSA,USER
Elma Riyanti,darmanlestari@gmail.com,@!3Cs*2a&o,Web Development,ADMIN
Kairav Wibisono,satya50@gmail.com,7b8YChesX!,Cyber Security,USER
Kuncara Kuswandari,pranatausada@gmail.com,0%)8Wpm&TN,Web Development,ADMIN
Hamima Sinaga,nurdiyantieva@gmail.com,Ba86!iSd_1,Cyber Security,USER
"drg. Titi Fujiati, S.Gz",yuliartibelinda@gmail.com,d1mBS$kx_3,ITNSA,USER
"Atmaja Suryatmi, S.E.",nurdiyantiwaluyo@gmail.com,%5Ch$e9)P!,Cyber Security,USER
Dalimin Haryanto,rajasagalang@gmail.com,&FUUG6(Uk9,ITNSA,ADMIN
Kamila Safitri,erik78@gmail.com,z^52Jmfn4i,Cyber Security,USER
R.M. Jaiman Farida,xzulaika@gmail.com,MwC5$rAN#4,ITNSA,USER
Drs. Mariadi Dongoran,cpertiwi@gmail.com,#3GVEp7*%D,Web Development,USER
H. Lamar Rajata,sriyanti@gmail.com,l6aKq!cD^*,Cyber Security,USER
Gamanto Laksmiwati,tasnimsitumorang@gmail.com,R+m1wZrjIL,Web Development,ADMIN
Lala Laksita,suartinimala@gmail.com,UDkJFirh#1,ITNSA,ADMIN
Yunita Saefullah,firmansyahpaulin@gmail.com,OT$6ZxtQmj,ITNSA,ADMIN
Nalar Hutagalung,jmustofa@gmail.com,e*6v@*YmvU,Cyber Security,USER
"Dr. Yessi Ardianto, M.Ak",prastutiade@gmail.com,%S6SQa##&X,Cyber Security,ADMIN
Paris Pranowo,pratiwikasusra@gmail.com,u9^VnC$t#P,ITNSA,ADMIN
"Hardi Yulianti, S.Pt",qsuwarno@gmail.com,(OF4(MGxf3,Cyber Security,ADMIN
drg. Agnes Pratama,winarsihozy@gmail.com,8u0+HfJO^*,ITNSA,USER
Restu Kuswandari,dodoprasasta@gmail.com,R@*@8Jo^97,ITNSA,ADMIN
"R. Maimunah Siregar, M.M.",nmansur@gmail.com,^(86SC3N*b,Web Development,USER
Wawan Budiman,garanhandayani@gmail.com,Kq*58DBly^,Web Development,USER
Rahayu Tampubolon,suartiniirfan@gmail.com,f9FkK9G3+1,Web Development,USER
Puti Hasna Pranowo,budiyantoestiono@gmail.com,8UAbokUc&5,Cyber Security,USER
"drg. Dariati Suartini, M.M.",maheswaraendra@gmail.com,I2J1rKrd^x,Web Development,USER
Tania Prastuti,luluhkuswoyo@gmail.com,%_lJzU#t99,Cyber Security,ADMIN
"Puti Ratna Rajasa, M.TI.",nkurniawan@gmail.com,V*8%$7AczT,Web Development,USER
"Cut Nabila Sihombing, M.Ak",ysaefullah@gmail.com,P5Kj2hZw_l,Web Development,USER
"Bakda Novitasari, S.T.",kusuma14@gmail.com,uYG6qNby8$,ITNSA,ADMIN
Lulut Situmorang,gadamangunsong@gmail.com,(75OtkQbZ&,Web Development,ADMIN
"Drs. Keisha Wibowo, M.Farm",liman08@gmail.com,(Ep7Q^Uf@b,Cyber Security,USER
"Mala Januar, S.E.",hamimapurnawati@gmail.com,h6l0Tcfd^9,Web Development,ADMIN
"Dalima Ramadan, S.Kom",prayogo54@gmail.com,s7rGKSt_)n,Cyber Security,ADMIN
"Agnes Santoso, S.Psi",puputnovitasari@gmail.com,(_(m@2Km1h,ITNSA,USER
Jasmin Hakim,wahyudineka@gmail.com,8o$Qu1Osn),Web Development,USER
Titin Habibi,mustofazelda@gmail.com,kj5qX2FkN^,Web Development,ADMIN
Caturangga Najmudin,kawaya60@gmail.com,#3Nna0miK1,Cyber Security,ADMIN
"Tgk. Ghaliyati Halim, S.H.",siregarsakti@gmail.com,JcYp7KHR_9,Cyber Security,USER
"R.M. Garan Hariyah, M.Kom.",pangestucayadi@gmail.com,(4n0YUQmbE,Web Development,ADMIN
Puti Lili Wahyudin,najammahendra@gmail.com,!_3G0bHJJd,Cyber Security,USER
Cahyadi Simbolon,prasetyafirgantoro@gmail.com,(G!2Cekbx*,Web Development,ADMIN
Jamalia Sirait,qmulyani@gmail.com,6lt3OliU@T,Web Development,USER
"Tgk. Ajiono Sitorus, S.IP",edisonzulaika@gmail.com,^@k7bQiBar,ITNSA,ADMIN
Hj. Talia Saputra,lmelani@gmail.com,*Lf8X+ObMN,Cyber Security,USER
"R. Gilang Simbolon, M.Kom.",wijayamustofa@gmail.com,)Bq(txJdU8,Cyber Security,USER
Zizi Usamah,kandasalahudin@gmail.com,!I0#Mnf8UQ,Web Development,ADMIN
Raditya Rajata,dalimathamrin@gmail.com,@p3GN+(tX0,Web Development,USER
Dr. Carla Hidayat,megantaratina@gmail.com,E5A(&Ke$*p,Cyber Security,USER
Vega Simanjuntak,prasetyagaran@gmail.com,H6#d0VXmBM,Cyber Security,ADMIN
"Karna Megantara, S.Ked",lailasaricawisadi@gmail.com,^252R)aT!6,ITNSA,ADMIN
Nrima Mangunsong,bhastuti@gmail.com,&N0ONHwxrV,ITNSA,USER
Oliva Pudjiastuti,nmanullang@gmail.com,f#5rDe64*J,Web Development,ADMIN
"Caket Jailani, S.E.",firmansyahkalim@gmail.com,PC3PG!tn+l,Web Development,USER
Amalia Wahyuni,nrahayu@gmail.com,%E1FLu#1X#,ITNSA,ADMIN
Harsaya Prayoga,oktavianiyono@gmail.com,BYNPLpiW)1,ITNSA,ADMIN
Teddy Lailasari,hasanhutagalung@gmail.com,(r72RI#wO+,Cyber Security,ADMIN
Nasrullah Agustina,latuponoibrani@gmail.com,jf6ChlK(r%,Cyber Security,ADMIN
"Jaiman Dabukke, M.M.",nadiakusumo@gmail.com,z0h7Z*Cx++,Web Development,USER
"Dr. Fitria Uyainah, S.Ked",setiawanlimar@gmail.com,h*69RJiBsH,ITNSA,ADMIN
Joko Hasanah,cawisadimaheswara@gmail.com,0r%9%J&h%Z,Cyber Security,ADMIN
Julia Usamah,agustinaraden@gmail.com,L1jAn&$z!3,ITNSA,USER
"Unggul Simbolon, S.T.",mfirmansyah@gmail.com,&9dBZz1fkC,ITNSA,ADMIN
Lamar Sitorus,pjanuar@gmail.com,*511Nmjb^X,Cyber Security,ADMIN
Puti Putri Hutasoit,zuyainah@gmail.com,5vO)Slg4(@,Cyber Security,USER
Hamima Natsir,rdongoran@gmail.com,4&g4vKVsY8,Cyber Security,USER
"Winda Siregar, S.Farm",adinata11@gmail.com,x!4bVfmi_4,Web Development,USER
Umaya Yolanda,uwacana@gmail.com,G6Nw8UNz$^,ITNSA,ADMIN
Lanjar Waluyo,lananghutapea@gmail.com,QV$IX9Xgmv,ITNSA,USER
Indah Usamah,prakosaprastuti@gmail.com,+8YzAt&isi,Web Development,ADMIN
"Dr. Xanana Laksmiwati, M.Ak",ghaliyati10@gmail.com,pF&7K3k!gh,ITNSA,USER
"dr. Harsaya Wastuti, S.IP",putraharja@gmail.com,emc7Zhbo)(,Cyber Security,USER
"Sutan Gatot Jailani, S.IP",icha89@gmail.com,Oj58TL_d)V,Web Development,USER
Ira Waluyo,rosmanagustina@gmail.com,4B6Fb9mwa^,Web Development,ADMIN
R.A. Dewi Damanik,ridwan06@gmail.com,d7@iyBEs$9,ITNSA,ADMIN
Almira Wahyuni,nyanaagustina@gmail.com,)4*su$KlKj,ITNSA,USER
Nilam Hutagalung,sidiqnatsir@gmail.com,Xi6oT+Zxz#,ITNSA,USER
Kemba Agustina,jamalsalahudin@gmail.com,m11IW1S6^u,Web Development,USER
"Raden Kusmawati, S.Pd",tedi83@gmail.com,!PPmm@1wd5,ITNSA,ADMIN
Lidya Winarsih,mahmud87@gmail.com,#tZotA200_,Cyber Security,ADMIN
"Taswir Mandasari, S.E.I",jasmani94@gmail.com,V+O$4Q#d%(,Cyber Security,ADMIN
Carla Kusumo,ihsan84@gmail.com,4JCl$4vT@b,Cyber Security,ADMIN
Rika Wibisono,utamaopung@gmail.com,CgV5Llu4*y,Cyber Security,ADMIN
Ir. Padma Sihombing,marpaunggantar@gmail.com,@3DCIhLt+0,Web Development,ADMIN
Cecep Dabukke,jaiswulandari@gmail.com,$Q1(N(Mav$,Web Development,USER
Zaenab Rajasa,padmasaridartono@gmail.com,&S)*7vRjzN,Cyber Security,ADMIN
Tgk. Kunthara Lestari,paimanlailasari@gmail.com,@mD6KbmL18,Web Development,ADMIN
Gara Maryati,karditarihoran@gmail.com,&SrUYS2e35,Cyber Security,ADMIN
Latika Hutagalung,hgunawan@gmail.com,4oSJcveb)1,Cyber Security,ADMIN
R. Rizki Permata,kusumodarmana@gmail.com,%OC#3Hxh_i,Cyber Security,USER
"Lamar Dongoran, S.T.",ehalim@gmail.com,c+y7R&*wQa,Cyber Security,ADMIN
Daruna Wahyuni,vyolanda@gmail.com,#2^V#GQ*Pu,Cyber Security,USER
Suci Hidayanto,prayogo46@gmail.com,&OMaqx0nc8,ITNSA,ADMIN
Salwa Dongoran,galak95@gmail.com,MXb_YUg@(3,ITNSA,ADMIN
Dalimin Nasyiah,psihotang@gmail.com,QbySabzX^0,Web Development,USER
"Wira Maulana, S.Pd",windawinarsih@gmail.com,%3P1ZgbLGg,Cyber Security,ADMIN
"Panji Andriani, S.Ked",nfirmansyah@gmail.com,S3qGOUv$_u,Cyber Security,ADMIN
Mila Hastuti,labuh02@gmail.com,SUs+5RPmy_,Cyber Security,USER
Jessica Wahyuni,pangestufarah@gmail.com,tc4VehIp^o,Cyber Security,USER
"Zaenab Andriani, S.Sos",caturyolanda@gmail.com,yVuy*2Cj&V,Cyber Security,USER
Cornelia Adriansyah,padmi46@gmail.com,$Qj0qSjQEU,ITNSA,ADMIN
Kiandra Yuniar,xyuniar@gmail.com,^I2%Qj2eBJ,Web Development,USER
"Rini Pratiwi, S.Ked",ellisandriani@gmail.com,k@0ECeod#n,Web Development,ADMIN
Hafshah Usada,gunartorangga@gmail.com,i3_KTg^i#W,Cyber Security,USER
"Perkasa Mardhiyah, S.Psi",gwijaya@gmail.com,$O52MbR^(l,Cyber Security,ADMIN
Wage Palastri,kasusrasudiati@gmail.com,!6)1STNfg@,ITNSA,USER
Puti Suryono,usamosir@gmail.com,l(_R8DwtE),Cyber Security,ADMIN
"Kezia Iswahyudi, M.Kom.",ywasita@gmail.com,^6a!kYDDr+,Cyber Security,ADMIN
Darmaji Hakim,xsitumorang@gmail.com,%3PxwNDP@U,Cyber Security,USER
Cahyo Puspasari,cawisadi77@gmail.com,c2HU%hXJ*_,ITNSA,ADMIN
"dr. Fathonah Prastuti, M.Pd",lamar20@gmail.com,zBVx(4Dl@1,Web Development,ADMIN
"R. Kariman Susanti, S.T.",olestari@gmail.com,q!SX74AswF,Cyber Security,USER
Rosman Maryati,puspitahani@gmail.com,%OHBnqb6&9,ITNSA,ADMIN
Heru Siregar,rahayupuspita@gmail.com,V7rTyqTc(1,Cyber Security,ADMIN
Julia Mayasari,cakrabirawa71@gmail.com,+9BwIsgspN,Cyber Security,ADMIN
Vivi Prasetyo,sidiq07@gmail.com,_3Ja(PLDXo,Cyber Security,USER
Queen Mahendra,mahditarihoran@gmail.com,&&QMabjuX6,ITNSA,ADMIN
Kairav Pratiwi,kamaria63@gmail.com,@2OMxirg_0,Web Development,USER
Yuliana Kuswandari,ttampubolon@gmail.com,@2jg7OjDhP,Web Development,USER
Raditya Safitri,martakamegantara@gmail.com,LO*_5@OaX7,Cyber Security,ADMIN
Gina Suartini,kemal00@gmail.com,^J36Vne+Ei,Web Development,ADMIN
Hj. Winda Sihombing,wnasyidah@gmail.com,!_3COZ^s!n,Cyber Security,USER
Carla Rahmawati,lalita14@gmail.com,)O!6S@ttPf,ITNSA,ADMIN
Qori Wacana,fpurwanti@gmail.com,%syTlFbMN9,Web Development,ADMIN
Ajimat Budiman,qwasita@gmail.com,%U06F3xeZ!,Cyber Security,ADMIN
Putri Widodo,orahimah@gmail.com,&a46Z5j^v2,ITNSA,USER
Tgk. Kayla Marbun,halimahirma@gmail.com,_y!9#9XaE1,ITNSA,ADMIN
Emin Mansur,wirdafujiati@gmail.com,)0UFS!cFZI,Cyber Security,USER
Saadat Sihombing,sthamrin@gmail.com,$qnIYmud22,Web Development,ADMIN
R. Elon Yuniar,taufikhalim@gmail.com,$Y+5i0In2*,Cyber Security,USER
R. Purwa Sihombing,osaputra@gmail.com,@bnyZz5dq9,ITNSA,ADMIN
Gilda Pradipta,embuh54@gmail.com,73$tBZ7N$v,Web Development,USER
"dr. Aslijan Yulianti, M.Kom.",verouyainah@gmail.com,*7Bfdipj$o,Cyber Security,USER
"Hj. Gawati Siregar, S.E.",uwaisvega@gmail.com,_k3X6SvkmN,ITNSA,USER
Vega Wahyuni,hpermadi@gmail.com,b#!!V2TnQr,Web Development,ADMIN
"drg. Kenzie Dongoran, S.I.Kom",lestariliman@gmail.com,q(tF92Ndg!,Web Development,USER
Yessi Wastuti,halimprabowo@gmail.com,+79t*K6oF2,Web Development,ADMIN
Irfan Sirait,anggriawanami@gmail.com,8+J4KafK4O,Cyber Security,ADMIN
Oni Palastri,nurainiophelia@gmail.com,%9@$R(wtA7,Cyber Security,ADMIN
Mala Lailasari,vlaksmiwati@gmail.com,ArIzDy8h$8,Cyber Security,ADMIN
Dr. Almira Wasita,zlailasari@gmail.com,%A6TZERj7#,Cyber Security,USER
Saiful Natsir,kurniawanmursita@gmail.com,y@8%QY%(mv,ITNSA,USER
"Mahmud Zulkarnain, S.I.Kom",eman86@gmail.com,$aV84DA0##,ITNSA,USER
"Hj. Calista Napitupulu, S.Sos",galurjailani@gmail.com,U88KGhHB&&,Cyber Security,USER
Kamaria Suryono,emongnajmudin@gmail.com,_2Cu%22had,Cyber Security,USER
Luwar Agustina,tnuraini@gmail.com,#pE5wnCFn7,ITNSA,ADMIN
"Ir. Hasta Suryatmi, S.E.",vinofarida@gmail.com,)pU%aJ&T3F,Cyber Security,USER
Panji Waskita,malarahimah@gmail.com,_r2AEeqYWn,ITNSA,ADMIN
"R. Oni Riyanti, S.Kom",gnovitasari@gmail.com,8X1BK(Cqv+,Cyber Security,USER
Malik Nurdiyanti,jkuswoyo@gmail.com,1CNk7K@l)v,ITNSA,USER
Kiandra Dongoran,kjailani@gmail.com,zE1ruRgv^6,ITNSA,USER
Fitria Aryani,setya46@gmail.com,@n9JgH2pHV,ITNSA,USER
Eka Santoso,kasiransirait@gmail.com,UAP#2CXuDH,Cyber Security,USER
"T. Yusuf Siregar, S.H.",prabawasimanjuntak@gmail.com,1_%eHe9c_U,ITNSA,USER
"Tgk. Sadina Haryanti, M.Kom.",hsihotang@gmail.com,ZcvRBHMN*5,Web Development,ADMIN
"Ina Safitri, S.I.Kom",anggrainiwarsita@gmail.com,EDw5bSUx(M,Cyber Security,USER
Kajen Prasetya,budiyantonarji@gmail.com,%7s4UJfd3J,Web Development,ADMIN
Queen Anggraini,slamet10@gmail.com,oEU3PQyyn$,Web Development,ADMIN
"Puti Puspa Sihombing, S.Farm",qhalim@gmail.com,@&^U9olrC5,Cyber Security,USER
Vera Natsir,narjioktaviani@gmail.com,wG$+6IRn*V,Web Development,USER
Aurora Maryati,marpaungami@gmail.com,MSL_50Va!x,Cyber Security,ADMIN
H. Mustofa Saputra,zelaya39@gmail.com,!*9PKnGPz!,Cyber Security,ADMIN
Ir. Gantar Haryanti,langgeng20@gmail.com,%2N4VDw!82,Web Development,ADMIN
Kamaria Zulaika,sjanuar@gmail.com,30)gBF9h_l,Web Development,ADMIN
Taufik Lailasari,sinagajagaraga@gmail.com,0597VtR8(w,ITNSA,USER
Oman Oktaviani,unjani97@gmail.com,oy1&U8Ofo!,Web Development,ADMIN
Hj. Siti Hastuti,suartiniartawan@gmail.com,z3m^qGg5%k,Web Development,USER
"Tgk. Ani Aryani, S.Ked",chandrasantoso@gmail.com,a*O9y+ArHo,ITNSA,USER
"Dr. Artanto Yuliarti, S.Ked",restu51@gmail.com,$cSOkasc*8,Cyber Security,ADMIN
"Silvia Mandala, S.H.",usamahcici@gmail.com,+gA4!&Fe^6,Cyber Security,USER
"Nurul Melani, S.E.I",pranowooni@gmail.com,!J!2uGoAY$,ITNSA,USER
"Ir. Endah Nugroho, S.T.",estiono54@gmail.com,_MLymbGSI9,Web Development,USER
Puti Pranowo,ifa81@gmail.com,)N(X2pHnl1,Cyber Security,ADMIN
T. Gaman Ramadan,bagiyanapitupulu@gmail.com,)48RxL(ym4,Cyber Security,USER
"Salimah Novitasari, S.H.",aanggriawan@gmail.com,0+1EbUnx@y,ITNSA,USER
